t,k,x
17.21105527638191,0.9940816326530613,3.311864911214289
17.33668341708543,0.9940816326530613,3.3935876730315564
17.462311557788944,0.9940816326530613,3.473788584725578
17.587939698492463,0.9940816326530613,3.552662552131604
17.71356783919598,0.9940816326530613,3.6302250115243186
17.839195979899497,0.9940816326530613,3.7064897201350684
17.964824120603016,0.9940816326530613,3.7816426876279285
18.09045226130653,0.9940816326530613,3.855448226784256
18.21608040201005,0.9940816326530613,3.9281201590894392
18.34170854271357,0.9940816326530613,3.9993542540270024
18.467336683417084,0.9940816326530613,4.069298183644842
18.592964824120603,0.9940816326530613,4.137649433995125
18.718592964824122,0.9940816326530613,4.204432071744817
18.844221105527637,0.9940816326530613,4.269391657119513
18.969849246231156,0.9940816326530613,4.332347749828413
19.09547738693467,0.9940816326530613,4.39314584750029
19.22110552763819,0.9940816326530613,4.451291270332757
19.34673366834171,0.9940816326530613,4.506745019254193
19.472361809045225,0.9940816326530613,4.558561486595925
19.597989949748744,0.9940816326530613,4.6067015341187165
19.723618090452263,0.9940816326530613,4.650109426125883
19.849246231155778,0.9940816326530613,4.6873231336117644
19.974874371859297,0.9940816326530613,4.717848042508295
20.100502512562816,0.9940816326530613,4.738974989149659
20.22613065326633,0.9940816326530613,4.747136830138841
20.35175879396985,0.9940816326530613,4.739555656179129
20.477386934673365,0.9940816326530613,4.705756881366646
20.603015075376884,0.9940816326530613,4.636063013613795
20.728643216080403,0.9940816326530613,4.500865478843964
20.85427135678392,0.9940816326530613,4.2492560125012115
20.979899497487438,0.9940816326530613,3.7589165927634105
21.105527638190956,0.9940816326530613,2.801385920409969
21.231155778894472,0.9940816326530613,1.5294763878078494
21.35678391959799,0.9940816326530613,0.9317371749134241
21.482412060301506,0.9940816326530613,0.8472146344271095
21.608040201005025,0.9940816326530613,0.8919555174320077
21.733668341708544,0.9940816326530613,0.9700773919572588
21.85929648241206,0.9940816326530613,1.0620636581283944
21.984924623115578,0.9940816326530613,1.163169258223067
22.110552763819097,0.9940816326530613,1.2718759725486106
22.236180904522612,0.9940816326530613,1.3872976012918476
22.36180904522613,0.9940816326530613,1.5084487478046693
22.487437185929647,0.9940816326530613,1.6342626278594747
22.613065326633166,0.9940816326530613,1.7633222602405472
22.738693467336685,0.9940816326530613,1.8939378359501278
22.8643216080402,0.9940816326530613,2.0243291197859437
22.98994974874372,0.9940816326530613,2.1527169853709682
23.115577889447238,0.9940816326530613,2.2776084613593506
23.241206030150753,0.9940816326530613,2.3980423925455763
23.366834170854272,0.9940816326530613,2.513093993959099
23.492462311557787,0.9940816326530613,2.622699265100886
23.618090452261306,0.9940816326530613,2.7272335215418773
23.743718592964825,0.9940816326530613,2.827108012206464
23.86934673366834,0.9940816326530613,2.922683947762362
23.99497487437186,0.9940816326530613,3.0146892887973937
24.12060301507538,0.9940816326530613,3.1037584613126676
24.246231155778894,0.9940816326530613,3.1902832102361907
24.371859296482413,0.9940816326530613,3.2746207764347397
24.497487437185928,0.9940816326530613,3.357116837189978
24.623115577889447,0.9940816326530613,3.437986601847877
24.748743718592966,0.9940816326530613,3.517384850708259
24.87437185929648,0.9940816326530613,3.5955419004381786
25.0,0.9940816326530613,3.6723951906003576
0.0,0.9944897959183674,1.0
0.12562814070351758,0.9944897959183674,1.224447291265331
0.25125628140703515,0.9944897959183674,1.408615698546642
0.3768844221105528,0.9944897959183674,1.5651659502579807
0.5025125628140703,0.9944897959183674,1.7016422091665377
0.628140703517588,0.9944897959183674,1.8235178605039906
0.7537688442211056,0.9944897959183674,1.9347942291518592
0.8793969849246231,0.9944897959183674,2.038475481173219
1.0050251256281406,0.9944897959183674,2.1365914992335155
1.1306532663316582,0.9944897959183674,2.230797429350991
1.256281407035176,0.9944897959183674,2.322142516641567
1.3819095477386936,0.9944897959183674,2.4113690007973414
1.5075376884422111,0.9944897959183674,2.4989511295555666
1.6331658291457287,0.9944897959183674,2.585268087892346
1.7587939698492463,0.9944897959183674,2.670570766988944
1.8844221105527639,0.9944897959183674,2.754989065665398
2.0100502512562812,0.9944897959183674,2.838603254569458
2.135678391959799,0.9944897959183674,2.921572002065515
2.2613065326633164,0.9944897959183674,3.003786015207681
2.386934673366834,0.9944897959183674,3.08539684400593
2.512562814070352,0.9944897959183674,3.1663232657467018
2.6381909547738696,0.9944897959183674,3.246529722951576
2.763819095477387,0.9944897959183674,3.3261096663069227
2.8894472361809047,0.9944897959183674,3.40495141529166
3.0150753768844223,0.9944897959183674,3.48297541776549
3.14070351758794,0.9944897959183674,3.5602505300971425
3.2663316582914574,0.9944897959183674,3.636726158975699
3.391959798994975,0.9944897959183674,3.712207086638711
3.5175879396984926,0.9944897959183674,3.7867498509835467
3.64321608040201,0.9944897959183674,3.8603640094257834
3.7688442211055277,0.9944897959183674,3.9327523822338066
3.8944723618090453,0.9944897959183674,4.0039205185426825
4.0201005025125625,0.9944897959183674,4.07392580894953
4.1457286432160805,0.9944897959183674,4.142400073982075
4.271356783919598,0.9944897959183674,4.209217767304973
4.396984924623116,0.9944897959183674,4.274448243144794
4.522613065326633,0.9944897959183674,4.337713438758218
4.648241206030151,0.9944897959183674,4.3986065084144315
4.773869346733668,0.9944897959183674,4.457287982123099
4.899497487437186,0.9944897959183674,4.512790754125737
5.025125628140704,0.9944897959183674,4.565356496859184
5.150753768844221,0.9944897959183674,4.613627736750314
5.276381909547739,0.9944897959183674,4.657422194375321
5.402010050251256,0.9944897959183674,4.695698875880298
5.527638190954774,0.9944897959183674,4.726264088988795
5.653266331658291,0.9944897959183674,4.748230648522897
5.778894472361809,0.9944897959183674,4.758301245337916
5.9045226130653266,0.9944897959183674,4.750396919781876
6.030150753768845,0.9944897959183674,4.720049840244256
6.155778894472362,0.9944897959183674,4.651329066504965
6.28140703517588,0.9944897959183674,4.521528125955726
6.407035175879397,0.9944897959183674,4.277189343555898
6.532663316582915,0.9944897959183674,3.8013989205332828
6.658291457286432,0.9944897959183674,2.862817377183148
6.78391959798995,0.9944897959183674,1.5721440911061384
6.909547738693467,0.9944897959183674,0.9379371020612245
7.035175879396985,0.9944897959183674,0.8439644945241732
7.160804020100502,0.9944897959183674,0.8867674471835432
7.28643216080402,0.9944897959183674,0.9641729234222751
7.4120603015075375,0.9944897959183674,1.055692783099388
7.5376884422110555,0.9944897959183674,1.1563652202866421
7.663316582914573,0.9944897959183674,1.264654146484641
7.788944723618091,0.9944897959183674,1.3796806542417572
7.914572864321608,0.9944897959183674,1.5005012564745035
8.040201005025125,0.9944897959183674,1.6260279113034073
8.165829145728644,0.9944897959183674,1.754919963693408
8.291457286432161,0.9944897959183674,1.8854685194368883
8.417085427135678,0.9944897959183674,2.015914819657195
8.542713567839195,0.9944897959183674,2.144468943544809
8.668341708542714,0.9944897959183674,2.269617178027279
8.793969849246231,0.9944897959183674,2.3903607953435513
